
@relation all-data-pacman
@attribute pacmanDirec {West, East, North, South, Stop}
@attribute pacmanXpos NUMERIC
@attribute pacmanYpos NUMERIC
@attribute LivingGhost1 {False, True}
@attribute LivingGhost2 {False, True}
@attribute LivingGhost3 {False, True}
@attribute LivingGhost4 {False, True}
@attribute ghost1XPos NUMERIC
@attribute ghost1YPos NUMERIC
@attribute ghost2XPos NUMERIC
@attribute ghost2YPos NUMERIC
@attribute ghost3XPos NUMERIC
@attribute ghost3YPos NUMERIC
@attribute ghost4XPos NUMERIC
@attribute ghost4YPos NUMERIC
@attribute ghost1Dist NUMERIC
@attribute ghost2Dist NUMERIC
@attribute ghost3Dist NUMERIC
@attribute ghost4Dist NUMERIC
@attribute currentScore NUMERIC
@attribute pacmanNextXPosition NUMERIC
@attribute pacmanNextYPosition NUMERIC
@attribute nextScore NUMERIC
@attribute action {West, East, North, South, Stop}
@data
East,14,7,False,False,True,True,1,1,3,1,19,12,22,9,0,0,10,10,375,14,7,474,East
East,15,7,False,False,True,True,1,1,3,1,19,12,22,9,0,0,9,9,374,15,7,473,East
East,16,7,False,False,True,True,1,1,3,1,19,12,22,9,0,0,8,8,373,16,7,472,East
East,17,7,False,False,True,True,1,1,3,1,19,12,22,9,0,0,7,7,372,17,7,371,East
East,18,7,False,False,True,True,1,1,3,1,19,12,22,9,0,0,6,6,371,18,7,370,East
East,19,7,False,False,True,True,1,1,3,1,19,12,22,9,0,0,5,5,370,19,7,469,East
East,20,7,False,False,True,True,1,1,3,1,19,12,22,9,0,0,6,4,369,20,7,468,East
East,21,7,False,False,True,True,1,1,3,1,19,12,22,9,0,0,7,3,368,21,7,467,East
East,22,7,False,False,True,True,1,1,3,1,19,12,22,9,0,0,8,2,367,22,8,466,North
North,22,8,False,False,True,True,1,1,3,1,19,12,22,9,0,0,7,1,366,22,9,565,North
North,22,9,False,False,True,False,1,1,3,1,19,12,7,1,0,0,6,0,565,22,10,664,North
North,22,10,False,False,True,False,1,1,3,1,19,12,7,1,0,0,5,0,564,22,11,663,North
North,22,11,False,False,True,False,1,1,3,1,19,12,7,1,0,0,4,0,563,22,12,562,North
North,22,12,False,False,True,False,1,1,3,1,19,12,7,1,0,0,3,0,562,22,12,561,West
West,21,12,False,False,True,False,1,1,3,1,19,12,7,1,0,0,2,0,561,21,12,660,West
West,20,12,False,False,True,False,1,1,3,1,19,12,7,1,0,0,1,0,560,20,12,759,West
Stop,14,1,True,True,True,True,10,13,13,13,14,13,17,13,16,13,12,15,0,14,1,-1,Stop
Stop,14,1,True,True,True,True,10,13,13,13,14,13,17,13,16,13,12,15,-1,14,1,98,West
West,13,1,True,True,True,True,10,13,13,13,14,13,17,13,15,12,13,16,-2,13,1,97,West
West,12,1,True,True,True,True,10,13,13,13,14,13,17,13,14,13,14,17,-3,12,2,96,North
North,12,2,True,True,True,True,10,13,13,13,14,13,17,13,13,12,13,16,-4,12,3,95,North
North,12,3,True,True,True,True,10,13,13,13,14,13,17,13,12,11,12,15,-5,12,3,94,West
West,11,3,True,True,True,True,10,13,13,13,14,13,17,13,11,12,13,16,-6,11,3,93,West
West,10,3,True,True,True,True,10,13,13,13,14,13,17,13,10,13,14,17,-7,10,3,92,West
West,9,3,True,True,True,True,10,13,13,13,14,13,17,13,11,14,15,18,-8,9,4,91,North
North,9,4,True,True,True,True,10,13,13,13,14,13,17,13,10,13,14,17,-9,9,5,90,North
North,9,5,True,True,True,True,10,13,13,13,14,13,17,13,9,12,13,16,-10,9,6,89,North
North,9,6,True,True,True,True,10,13,13,13,14,13,17,13,8,11,12,15,-11,9,6,88,East
East,10,6,True,True,True,True,10,13,13,13,14,13,17,13,7,10,11,14,-12,10,6,87,East
East,11,6,True,True,True,True,10,13,13,13,14,13,17,13,8,9,10,13,-13,11,6,86,East
East,12,6,True,True,True,True,10,13,13,13,14,13,17,13,9,8,9,12,-14,12,7,85,North
North,12,7,True,True,True,True,10,13,13,13,14,13,17,13,8,7,8,11,-15,12,8,84,North
North,12,8,True,True,True,True,10,13,13,13,14,13,17,13,7,6,7,10,-16,12,9,83,North
North,12,9,True,True,True,True,10,13,13,13,14,13,17,13,6,5,6,9,-17,12,9,82,West
West,11,9,True,True,True,True,10,13,13,13,14,13,17,13,5,6,7,10,-18,11,9,81,West
West,10,9,True,True,True,True,10,13,13,13,14,13,17,13,4,7,8,11,-19,10,9,80,West
West,9,9,True,True,True,True,10,13,13,13,14,13,17,13,5,8,9,12,-20,9,9,79,West
West,8,9,True,True,True,True,10,13,13,13,14,13,17,13,6,9,10,13,-21,8,10,-22,North
North,8,10,True,True,True,True,10,13,13,13,14,13,17,13,5,8,9,12,-22,8,11,-23,North
North,8,11,True,True,True,True,10,13,13,13,14,13,17,13,4,7,8,11,-23,8,12,-24,North
North,8,12,True,True,True,True,10,13,13,13,14,13,17,13,3,6,7,10,-24,8,13,-25,North
North,8,13,True,True,True,True,10,13,13,13,14,13,17,13,2,5,6,9,-25,8,14,-26,North
North,8,14,True,True,True,True,10,13,13,13,14,13,17,13,3,6,7,10,-26,8,15,-27,North
North,8,15,True,True,True,True,10,13,13,13,14,13,17,13,4,7,8,11,-27,8,15,-28,East
East,9,15,True,True,True,True,10,13,13,13,14,13,17,13,3,6,7,10,-28,9,15,-29,East
East,10,15,True,True,True,True,10,13,13,13,14,13,17,13,2,5,6,9,-29,10,15,-30,East
East,11,15,True,True,True,True,10,13,13,13,14,13,17,13,3,4,5,8,-30,11,15,-31,East
East,12,15,True,True,True,True,10,13,13,13,14,13,17,13,4,3,4,7,-31,12,15,-32,East
East,13,15,True,True,True,True,10,13,13,13,14,13,17,13,5,2,3,6,-32,13,14,-33,South
South,13,14,True,True,True,True,10,13,13,13,14,13,17,13,4,1,2,5,-33,13,13,166,South
South,13,13,True,False,True,True,10,13,3,1,14,13,17,13,3,0,1,4,166,13,13,165,West
West,12,13,True,False,True,True,10,13,3,1,14,13,17,13,2,0,2,5,165,12,13,164,West
West,11,13,True,False,True,True,10,13,3,1,14,13,17,13,1,0,3,6,164,11,13,363,West
West,10,13,False,False,True,True,1,1,3,1,14,13,17,13,0,0,4,7,363,10,13,362,East
East,11,13,False,False,True,True,1,1,3,1,14,13,17,13,0,0,3,6,362,11,13,361,East
East,12,13,False,False,True,True,1,1,3,1,14,13,17,13,0,0,2,5,361,12,13,360,East
East,13,13,False,False,True,True,1,1,3,1,14,13,17,13,0,0,1,4,360,13,13,559,East
East,14,13,False,False,False,True,1,1,3,1,5,1,17,13,0,0,0,3,559,14,13,558,East
East,15,13,False,False,False,True,1,1,3,1,5,1,17,13,0,0,0,2,558,15,13,557,East
East,16,13,False,False,False,True,1,1,3,1,5,1,17,13,0,0,0,1,557,16,13,756,East
Stop,12,10,True,True,True,True,5,6,5,12,13,6,13,12,11,9,5,3,0,12,10,-1,Stop
