@relation all-data-pacman-weka.filters.unsupervised.attribute.Remove-R21-23

@attribute pacmanDirec {West,East,North,South,Stop}
@attribute pacmanXpos numeric
@attribute pacmanYpos numeric
@attribute LivingGhost1 {False,True}
@attribute LivingGhost2 {False,True}
@attribute LivingGhost3 {False,True}
@attribute LivingGhost4 {False,True}
@attribute ghost1XPos numeric
@attribute ghost1YPos numeric
@attribute ghost2XPos numeric
@attribute ghost2YPos numeric
@attribute ghost3XPos numeric
@attribute ghost3YPos numeric
@attribute ghost4XPos numeric
@attribute ghost4YPos numeric
@attribute ghost1Dist numeric
@attribute ghost2Dist numeric
@attribute ghost3Dist numeric
@attribute ghost4Dist numeric
@attribute currentScore numeric
@attribute action {West,East,North,South,Stop}

@data
West,8,9,True,True,True,True,11,13,15,15,14,13,15,13,7,13,10,12,-20,North
North,8,10,True,True,True,True,11,13,16,15,14,14,16,13,6,13,10,10,-21,North
North,8,11,True,True,True,True,10,13,15,15,14,14,15,13,4,11,9,10,-22,North
North,8,12,True,True,True,True,11,13,14,15,14,13,16,13,4,9,7,9,-23,North
North,8,13,True,True,True,True,10,13,13,15,14,14,16,13,2,7,7,9,-24,North
North,8,14,True,True,True,True,10,13,14,15,14,15,17,13,3,7,7,9,-25,South
North,8,15,True,True,True,True,11,13,15,15,14,14,16,13,5,7,7,10,-26,South
East,9,15,True,True,True,True,12,13,16,15,14,13,16,13,5,7,7,8,-27,East
East,10,15,True,True,True,True,12,13,16,15,15,13,15,13,4,6,7,8,-28,East
East,11,15,True,True,True,True,13,13,17,15,15,13,16,13,4,6,6,8,-29,East
East,12,15,True,True,True,True,12,13,16,15,16,13,17,13,2,4,6,7,-30,East
East,13,15,True,True,True,True,11,13,17,15,16,13,17,13,4,4,5,5,-31,South
South,13,14,True,True,True,True,11,13,16,15,17,13,16,13,3,4,5,4,-32,South
South,13,13,True,True,True,True,12,13,17,15,17,13,16,13,1,6,4,2,-33,West
West,12,13,False,True,True,True,2,1,18,15,17,13,15,13,0,8,5,2,166,East
West,11,13,False,True,True,True,3,1,18,15,16,13,14,13,0,9,5,3,165,East
West,10,13,False,True,True,True,2,1,19,15,16,13,14,13,0,11,6,4,164,East
East,11,13,False,True,True,True,1,1,19,14,16,13,14,13,0,9,5,2,163,East
East,12,13,False,True,True,True,1,1,19,14,16,13,13,13,0,8,4,2,162,East
East,13,13,False,True,True,False,1,2,19,13,16,13,14,13,23,6,3,0,361,East
East,14,13,False,True,True,False,1,2,19,14,16,13,7,1,24,6,2,0,360,East
East,15,13,False,True,True,False,1,1,19,15,17,13,6,1,0,6,2,0,359,East
East,16,13,False,True,False,False,1,1,19,15,5,1,6,1,0,5,0,0,558,East
East,17,13,False,True,False,False,2,1,18,15,4,1,6,1,0,3,0,0,557,West
West,16,13,False,True,False,False,2,1,17,15,5,1,5,1,0,3,0,0,556,East
West,15,13,False,True,False,False,3,1,17,15,5,1,4,1,0,4,0,0,555,East
West,14,13,False,True,False,False,2,1,18,15,4,1,3,1,0,6,0,0,554,North
North,14,14,False,True,False,False,3,1,17,15,4,1,3,1,0,4,0,0,553,North
North,14,15,False,True,False,False,4,1,16,15,5,1,3,1,0,2,0,0,552,East
East,15,15,False,True,False,False,4,1,16,15,6,1,2,1,0,1,0,0,551,East
North,12,11,True,True,True,True,5,6,5,11,14,6,13,12,12,7,7,3,-1,North
North,12,12,True,True,True,True,5,5,6,11,13,6,14,12,14,7,7,2,-2,East
East,13,12,True,True,True,True,4,5,6,12,12,6,14,12,16,7,7,1,-3,East
East,14,12,True,True,True,False,4,5,6,12,12,5,7,1,17,8,9,0,196,West
North,14,13,True,True,True,False,4,4,6,13,12,5,7,1,19,8,10,0,195,West
West,13,13,True,True,True,False,4,4,6,13,13,5,7,1,18,7,8,0,194,West
West,12,13,True,True,True,False,4,5,6,12,14,5,7,1,16,7,10,0,193,South
South,12,12,True,True,True,False,3,5,7,12,14,5,7,1,16,5,9,0,192,West
West,11,12,True,True,True,False,3,6,8,12,15,5,7,1,14,3,11,0,191,West
West,10,12,True,True,True,False,4,6,8,13,15,5,7,1,12,3,12,0,190,North
North,10,13,True,True,True,False,5,6,8,14,15,6,7,1,12,3,12,0,189,North
North,10,14,True,True,True,False,6,6,9,14,15,7,7,1,12,1,12,0,188,West
West,9,14,True,False,True,False,6,5,3,1,14,7,7,1,12,0,12,0,387,South
South,9,13,True,False,True,False,5,5,3,1,14,7,7,1,12,0,11,0,386,South
South,9,12,True,False,True,False,6,5,3,1,14,6,7,1,10,0,11,0,385,South
South,9,11,True,False,True,False,5,5,3,1,14,6,7,1,10,0,10,0,384,South
South,9,10,True,False,True,False,5,5,3,1,14,6,7,1,9,0,9,0,383,South
South,9,9,True,False,True,False,6,5,3,1,14,7,7,1,7,0,7,0,382,South
South,9,8,True,False,True,False,5,5,3,1,14,6,7,1,7,0,7,0,381,South
South,9,7,True,False,True,False,6,5,3,1,14,7,7,1,5,0,5,0,380,South
South,9,6,True,False,True,False,6,5,3,1,13,7,7,1,4,0,5,0,379,South
South,9,5,True,False,True,False,6,4,3,1,13,7,7,1,4,0,6,0,378,South
South,9,4,True,False,True,False,6,3,3,1,13,8,7,1,4,0,8,0,377,South
South,9,3,True,False,True,False,7,3,3,1,12,8,7,1,2,0,8,0,376,West
West,8,3,True,False,True,False,7,4,3,1,12,9,7,1,2,0,10,0,375,North
North,8,4,True,False,True,False,7,4,3,1,12,8,7,1,1,0,8,0,374,West
West,7,4,False,False,True,False,1,1,3,1,12,7,7,1,0,0,8,0,573,North
North,7,5,False,False,True,False,1,1,3,1,12,8,7,1,0,0,8,0,572,North
North,7,6,False,False,True,False,1,1,3,1,11,8,7,1,0,0,6,0,571,North
North,7,7,False,False,True,False,1,1,3,1,11,8,7,1,0,0,5,0,570,North
North,7,8,False,False,True,False,1,1,3,1,11,9,7,1,0,0,5,0,569,North
North,7,9,False,False,True,False,1,1,3,1,11,9,7,1,0,0,4,0,568,East
East,8,9,False,False,True,False,1,1,3,1,11,9,7,1,0,0,3,0,567,East
East,9,9,False,False,True,False,1,1,3,1,10,9,7,1,0,0,1,0,566,East
West,10,10,True,True,True,True,6,5,7,11,22,9,25,14,9,4,13,18,-1,North
North,10,11,True,True,True,True,5,5,6,11,22,10,25,13,11,4,13,17,-2,West
West,9,11,True,True,True,True,5,5,6,11,22,11,25,13,10,3,13,17,-3,West
West,8,11,True,True,True,True,4,5,6,10,21,11,24,13,10,3,13,17,-4,South
South,8,10,True,True,True,True,4,5,5,10,22,11,23,13,9,3,15,18,-5,West
West,7,10,True,True,True,True,4,6,5,9,22,10,23,13,7,3,15,20,-6,South
South,7,9,True,True,True,True,4,6,5,8,23,10,23,14,6,3,17,20,-7,South
South,7,8,True,True,True,True,4,5,5,8,23,9,22,14,6,2,17,22,-8,West
West,6,8,True,False,True,True,5,5,3,1,23,10,22,15,4,0,19,23,191,South
South,6,7,True,False,True,True,5,5,3,1,24,10,22,15,3,0,21,24,190,South
South,6,6,True,False,True,True,5,5,3,1,24,9,22,15,2,0,21,24,189,South
South,6,5,False,False,True,True,1,1,3,1,24,8,22,14,0,0,21,26,388,North
South,6,4,False,False,True,True,1,1,3,1,25,8,23,14,0,0,23,26,387,North
East,7,4,False,False,True,True,1,1,3,1,25,9,22,14,0,0,23,25,386,East
East,8,4,False,False,True,True,1,1,3,1,25,9,22,14,0,0,22,23,385,North
North,8,5,False,False,True,True,1,1,3,1,25,10,22,13,0,0,22,22,384,North
North,8,6,False,False,True,True,1,1,3,1,25,10,22,13,0,0,21,21,383,North
North,8,7,False,False,True,True,1,1,3,1,25,10,22,13,0,0,20,20,382,North
North,8,8,False,False,True,True,1,1,3,1,25,10,22,13,0,0,19,19,381,North
North,8,9,False,False,True,True,1,1,3,1,25,11,22,13,0,0,19,17,380,North
North,8,10,False,False,True,True,1,1,3,1,24,11,21,13,0,0,17,15,379,North
North,8,11,False,False,True,True,1,1,3,1,24,10,21,12,0,0,17,14,378,North
North,8,12,False,False,True,True,1,1,3,1,25,10,21,12,0,0,19,12,377,East
East,9,12,False,False,True,True,1,1,3,1,25,10,20,12,0,0,18,12,376,East
East,10,12,False,False,True,True,1,1,3,1,25,10,20,13,0,0,17,10,375,East
East,11,12,False,False,True,True,1,1,3,1,24,10,20,12,0,0,15,10,374,East
East,12,12,False,False,True,True,1,1,3,1,24,9,20,11,0,0,15,8,373,South
South,12,11,False,False,True,True,1,1,3,1,25,9,20,12,0,0,15,10,372,North
East,13,11,False,False,True,True,1,1,3,1,25,10,20,13,0,0,13,10,371,North
North,13,12,False,False,True,True,1,1,3,1,25,10,21,13,0,0,14,10,370,East
East,14,12,False,False,True,True,1,1,3,1,25,10,22,13,0,0,13,8,369,North
North,14,13,False,False,True,True,1,1,3,1,24,10,22,12,0,0,13,9,368,South
East,15,13,False,False,True,True,1,1,3,1,23,10,22,12,0,0,11,7,367,South
South,15,12,False,False,True,True,1,1,3,1,23,9,21,12,0,0,11,6,366,South
South,15,11,False,False,True,True,1,1,3,1,23,9,21,12,0,0,10,8,365,North
East,16,11,False,False,True,True,1,1,3,1,22,9,21,13,0,0,8,8,364,South
South,16,10,False,False,True,True,1,1,3,1,22,10,21,14,0,0,6,8,363,East
East,17,10,False,False,True,True,1,1,3,1,22,10,21,13,0,0,5,6,362,East
East,18,10,False,False,True,True,1,1,3,1,22,11,21,12,0,0,5,5,361,South
