@relation all-data-pacman-weka.filters.unsupervised.attribute.Remove-R20-23-weka.filters.unsupervised.attribute.Remove-R1

@attribute pacmanXpos numeric
@attribute pacmanYpos numeric
@attribute LivingGhost1 {False,True}
@attribute LivingGhost2 {False,True}
@attribute LivingGhost3 {False,True}
@attribute LivingGhost4 {False,True}
@attribute ghost1XPos numeric
@attribute ghost1YPos numeric
@attribute ghost2XPos numeric
@attribute ghost2YPos numeric
@attribute ghost3XPos numeric
@attribute ghost3YPos numeric
@attribute ghost4XPos numeric
@attribute ghost4YPos numeric
@attribute ghost1Dist numeric
@attribute ghost2Dist numeric
@attribute ghost3Dist numeric
@attribute ghost4Dist numeric
@attribute action {West,East,North,South,Stop}

@data
13,13,False,False,True,True,1,1,3,1,14,13,17,13,0,0,1,4,East
14,13,False,False,False,True,1,1,3,1,5,1,17,13,0,0,0,3,East
15,13,False,False,False,True,1,1,3,1,5,1,17,13,0,0,0,2,East
16,13,False,False,False,True,1,1,3,1,5,1,17,13,0,0,0,1,East
12,10,True,True,True,True,5,6,5,12,13,6,13,12,11,9,5,3,Stop
12,10,True,True,True,True,5,7,5,11,13,6,13,12,10,8,5,4,North
12,11,True,True,True,True,5,8,5,12,12,6,14,12,10,8,5,2,North
12,12,True,True,True,True,5,8,6,12,12,6,13,12,11,6,6,2,East
13,12,True,True,True,True,4,8,6,11,12,7,13,11,13,8,6,1,South
13,11,True,True,True,False,4,9,6,11,12,8,7,1,11,7,4,0,South
13,10,True,True,True,False,3,9,6,11,11,8,7,1,11,8,4,0,South
13,9,True,True,True,False,3,8,7,11,11,7,7,1,11,8,4,0,South
13,8,True,True,True,False,2,8,6,11,11,6,7,1,11,10,4,0,West
12,8,True,True,True,False,2,9,7,11,11,5,7,1,11,8,4,0,West
11,8,True,True,True,False,2,9,7,11,10,5,7,1,10,7,4,0,South
11,7,True,True,True,False,3,9,7,10,10,6,7,1,10,7,2,0,South
11,6,True,True,False,False,2,9,7,9,5,1,7,1,12,7,0,0,West
10,6,True,True,False,False,3,9,6,9,5,1,7,1,10,7,0,0,West
9,6,True,True,False,False,3,9,6,10,5,1,7,1,9,7,0,0,West
8,6,True,True,False,False,3,9,6,9,5,1,7,1,8,5,0,0,West
7,6,True,True,False,False,3,9,7,9,5,1,7,1,7,3,0,0,West
6,6,True,True,False,False,4,9,7,9,5,1,7,1,5,4,0,0,North
6,7,True,True,False,False,3,9,8,9,5,1,7,1,5,4,0,0,North
6,8,True,True,False,False,2,9,7,9,5,1,7,1,5,2,0,0,West
5,8,True,True,False,False,1,9,7,8,5,1,7,1,5,2,0,0,West
4,8,True,True,False,False,1,8,7,7,5,1,7,1,3,4,0,0,West
3,8,True,True,False,False,1,9,6,7,5,1,7,1,3,4,0,0,North
3,9,True,True,False,False,1,9,6,7,5,1,7,1,2,5,0,0,West
2,9,False,True,False,False,1,1,7,7,5,1,7,1,0,7,0,0,West
1,9,False,True,False,False,1,1,8,7,5,1,7,1,0,9,0,0,South
