@relation all-data-pacman-weka.filters.unsupervised.attribute.Remove-R20-23-weka.filters.unsupervised.attribute.Remove-R4-7-weka.filters.unsupervised.attribute.Remove-R2-3

@attribute pacmanDirec {West,East,North,South,Stop}
@attribute ghost1XPos numeric
@attribute ghost1YPos numeric
@attribute ghost2XPos numeric
@attribute ghost2YPos numeric
@attribute ghost3XPos numeric
@attribute ghost3YPos numeric
@attribute ghost4XPos numeric
@attribute ghost4YPos numeric
@attribute ghost1Dist numeric
@attribute ghost2Dist numeric
@attribute ghost3Dist numeric
@attribute ghost4Dist numeric
@attribute action {West,East,North,South,Stop}

@data
East,1,1,3,1,16,7,24,13,0,0,5,19,East
East,1,1,3,1,15,7,24,13,0,0,3,18,East
East,1,1,3,1,14,7,24,13,0,0,1,16,East
East,1,1,3,1,5,1,24,12,0,0,0,14,East
East,1,1,3,1,5,1,23,12,0,0,0,12,East
East,1,1,3,1,5,1,23,11,0,0,0,9,East
East,1,1,3,1,5,1,24,11,0,0,0,8,East
East,1,1,3,1,5,1,24,11,0,0,0,7,East
East,1,1,3,1,5,1,24,11,0,0,0,5,East
East,1,1,3,1,5,1,23,11,0,0,0,3,East
East,1,1,3,1,5,1,23,10,0,0,0,2,East
East,1,8,2,8,2,8,6,7,4,3,3,5,East
East,2,8,2,8,2,7,6,6,4,4,3,3,East
East,3,8,2,9,2,6,6,5,4,6,3,3,East
East,1,1,5,7,5,10,7,1,0,5,4,0,East
East,1,1,5,7,4,10,7,1,0,4,2,0,East
East,1,1,4,7,5,10,7,1,0,2,2,0,East
East,1,1,6,6,2,9,7,1,0,3,4,0,East
East,10,3,12,8,18,12,21,9,14,11,13,20,East
East,10,3,12,9,18,11,21,8,13,9,13,20,East
East,10,4,12,8,19,11,22,8,11,9,13,20,East
East,10,4,12,7,19,12,22,7,10,9,11,19,East
East,12,4,13,6,19,10,23,6,3,4,14,13,East
East,14,6,3,1,20,11,22,5,2,0,13,11,East
East,14,5,3,1,20,11,22,5,2,0,12,11,East
East,14,6,3,1,18,10,21,4,2,0,8,7,East
East,1,1,3,1,5,1,22,4,0,0,0,8,East
East,1,1,3,1,5,1,22,4,0,0,0,6,East
East,13,13,12,16,14,14,16,13,10,12,12,12,East
East,13,13,12,16,14,13,15,13,9,11,10,11,East
East,13,13,3,1,16,13,17,13,6,0,9,9,East
East,12,13,4,1,17,13,16,13,4,0,9,9,East
East,12,13,5,1,17,13,17,13,3,0,8,8,East
East,12,13,6,1,17,13,17,13,2,0,7,6,East
East,2,1,8,1,17,13,17,13,0,0,2,2,East
East,1,1,9,1,17,13,17,13,0,0,1,1,East
North,5,6,5,12,13,6,13,12,13,7,7,1,East
North,1,1,5,12,5,1,7,1,0,4,0,0,East
North,1,1,3,1,21,9,25,14,0,0,16,25,East
North,1,1,3,1,21,9,25,14,0,0,10,19,East
North,1,1,3,1,21,9,25,14,0,0,6,15,East
North,1,10,2,8,2,9,3,7,5,4,5,4,East
North,1,1,3,1,19,12,22,9,0,0,13,13,East
North,10,13,13,13,14,13,17,13,8,11,12,15,East
North,10,13,13,13,14,13,17,13,4,7,8,11,East
North,5,8,6,12,12,6,13,12,11,6,6,2,East
North,1,1,3,1,25,14,23,13,0,0,9,7,East
North,1,1,3,1,24,12,23,14,0,0,4,2,East
North,1,10,2,7,1,9,2,8,5,3,4,3,East
North,2,9,2,10,1,10,3,8,2,3,4,2,East
North,10,6,10,11,20,12,21,8,6,1,12,14,East
North,1,1,3,1,5,1,23,11,0,0,0,1,East
North,1,1,3,1,5,1,23,10,0,0,0,2,East
North,10,13,15,15,15,15,17,13,8,15,15,15,East
North,13,13,16,18,14,15,15,13,7,11,6,8,East
North,2,3,17,18,6,1,7,1,23,7,0,0,East
North,1,1,18,18,5,1,7,1,0,3,0,0,East
North,3,4,5,11,14,9,14,13,18,9,6,3,East
North,1,1,9,13,5,1,7,1,0,13,0,0,East
North,1,1,8,12,5,1,7,1,0,2,0,0,East
North,1,1,7,12,5,1,7,1,0,2,0,0,East
North,1,1,3,1,16,8,24,15,0,0,19,34,East
North,1,1,3,1,16,7,23,14,0,0,8,23,East
North,1,1,3,1,5,1,23,11,0,0,0,9,East
North,1,7,3,8,2,8,5,7,2,5,4,7,East
North,2,7,2,9,2,8,6,5,2,4,3,3,East
North,6,7,5,10,2,6,7,1,1,3,4,0,East
North,1,1,5,6,4,9,7,1,0,6,4,0,East
North,1,1,5,6,4,10,7,1,0,7,4,0,East
North,13,6,3,1,19,11,23,5,2,0,13,12,East
North,1,1,3,1,18,9,23,3,0,0,2,12,East
North,1,1,3,1,17,9,22,3,0,0,2,13,East
North,13,13,12,16,13,14,17,13,11,13,12,14,East
North,12,13,3,1,16,13,16,13,6,0,10,11,East
South,1,1,3,1,21,9,25,14,0,0,21,30,East
South,9,3,11,7,19,12,22,9,6,10,23,23,East
South,9,3,11,7,19,12,22,9,2,8,21,21,East
South,1,1,7,7,5,1,7,1,0,7,0,0,East
South,4,9,3,1,5,1,7,1,4,0,0,0,East
South,10,5,10,9,19,11,20,8,14,10,17,20,East
South,10,5,10,11,21,12,21,10,7,3,15,14,East
South,12,5,3,1,22,11,21,8,3,0,17,14,East
South,11,5,3,1,23,11,21,9,1,0,19,16,East
South,1,1,3,1,22,7,22,11,0,0,3,2,East
South,1,3,8,10,5,1,7,1,13,9,0,0,East
South,4,7,3,9,1,6,7,1,4,7,6,0,East
South,1,1,6,7,2,9,7,1,0,3,3,0,East
South,12,5,13,5,20,10,23,7,3,4,16,15,East
South,11,5,12,5,19,11,22,6,1,2,15,13,East
South,15,6,3,1,19,10,22,4,2,0,10,8,East
South,1,1,3,1,5,1,22,3,0,0,0,9,East
South,1,1,3,1,5,1,22,4,0,0,0,3,East
South,1,1,3,1,5,1,22,4,0,0,0,1,East
South,1,1,6,1,17,13,16,13,0,0,5,5,East
