@relation all-data-pacman-weka.filters.unsupervised.attribute.Remove-R20-23-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.Remove-R15-18-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6

@attribute pacmanXpos {'\'(-inf-3.4]\'','\'(3.4-5.8]\'','\'(5.8-8.2]\'','\'(8.2-10.6]\'','\'(10.6-13]\'','\'(13-15.4]\'','\'(15.4-17.8]\'','\'(17.8-20.2]\'','\'(20.2-22.6]\'','\'(22.6-inf)\''}
'\'(5.8-8.2]\'','\'(9-11]\'','\'(0.9-inf)\'','\'(0.9-inf)\'','\'(0.9-inf)\'','\'(0.9-inf)\'','\'(5.2-6.6]\'','\'(5.2-6.6]\'','\'(3.7-5.4]\'','\'(7-9]\'','\'(20.2-22.6]\'','\'(8.5-10]\'','\'(22.7-inf)\'','\'(13.6-inf)\'',West
'\'(-inf-3.4]\'','\'(7-9]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(3.8-5.2]\'','\'(8-9.4]\'','\'(-inf-3.7]\'','\'(-inf-3]\'','\'(-inf-3.4]\'','\'(8.5-10]\'','\'(6.6-8.9]\'','\'(-inf-2.4]\'',West
'\'(-inf-3.4]\'','\'(11-13]\'','\'(0.9-inf)\'','\'(0.9-inf)\'','\'(0.9-inf)\'','\'(0.9-inf)\'','\'(9.4-10.8]\'','\'(2.4-3.8]\'','\'(8.8-10.5]\'','\'(7-9]\'','\'(17.8-20.2]\'','\'(11.5-13]\'','\'(20.4-22.7]\'','\'(6.6-8]\'',West
'\'(20.2-22.6]\'','\'(9-11]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'','\'(0.9-inf)\'','\'(-inf-2.4]\'','\'(-inf-2.4]\'','\'(-inf-3.7]\'','\'(-inf-3]\'','\'(20.2-22.6]\'','\'(8.5-10]\'','\'(20.4-22.7]\'','\'(10.8-12.2]\'',West
'\'(20.2-22.6]\'','\'(9-11]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'','\'(-inf-2.4]\'','\'(-inf-2.4]\'','\'(-inf-3.7]\'','\'(-inf-3]\'','\'(3.4-5.8]\'','\'(-inf-2.5]\'','\'(18.1-20.4]\'','\'(9.4-10.8]\'',West
'\'(10.6-13]\'','\'(-inf-3]\'','\'(0.9-inf)\'','\'(0.9-inf)\'','\'(0.9-inf)\'','\'(0.9-inf)\'','\'(9.4-10.8]\'','\'(12.2-13.6]\'','\'(12.2-13.9]\'','\'(11-13]\'','\'(13-15.4]\'','\'(11.5-13]\'','\'(15.8-18.1]\'','\'(12.2-13.6]\'',West
'\'(10.6-13]\'','\'(-inf-3]\'','\'(0.9-inf)\'','\'(0.9-inf)\'','\'(0.9-inf)\'','\'(0.9-inf)\'','\'(9.4-10.8]\'','\'(12.2-13.6]\'','\'(12.2-13.9]\'','\'(13-15]\'','\'(13-15.4]\'','\'(13-14.5]\'','\'(15.8-18.1]\'','\'(12.2-13.6]\'',West
'\'(8.2-10.6]\'','\'(-inf-3]\'','\'(0.9-inf)\'','\'(0.9-inf)\'','\'(0.9-inf)\'','\'(0.9-inf)\'','\'(10.8-12.2]\'','\'(12.2-13.6]\'','\'(13.9-15.6]\'','\'(13-15]\'','\'(13-15.4]\'','\'(14.5-inf)\'','\'(15.8-18.1]\'','\'(12.2-13.6]\'',West
'\'(10.6-13]\'','\'(7-9]\'','\'(0.9-inf)\'','\'(0.9-inf)\'','\'(0.9-inf)\'','\'(0.9-inf)\'','\'(9.4-10.8]\'','\'(12.2-13.6]\'','\'(17.3-inf)\'','\'(13-15]\'','\'(15.4-17.8]\'','\'(14.5-inf)\'','\'(15.8-18.1]\'','\'(12.2-13.6]\'',West
'\'(8.2-10.6]\'','\'(7-9]\'','\'(0.9-inf)\'','\'(0.9-inf)\'','\'(0.9-inf)\'','\'(0.9-inf)\'','\'(9.4-10.8]\'','\'(12.2-13.6]\'','\'(17.3-inf)\'','\'(13-15]\'','\'(15.4-17.8]\'','\'(14.5-inf)\'','\'(15.8-18.1]\'','\'(12.2-13.6]\'',West
'\'(8.2-10.6]\'','\'(7-9]\'','\'(0.9-inf)\'','\'(0.9-inf)\'','\'(0.9-inf)\'','\'(0.9-inf)\'','\'(9.4-10.8]\'','\'(12.2-13.6]\'','\'(17.3-inf)\'','\'(13-15]\'','\'(17.8-20.2]\'','\'(14.5-inf)\'','\'(15.8-18.1]\'','\'(12.2-13.6]\'',West
'\'(15.4-17.8]\'','\'(19-inf)\'','\'(-inf-0.1]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(3.8-5.2]\'','\'(2.4-3.8]\'','\'(15.6-17.3]\'','\'(19-inf)\'','\'(3.4-5.8]\'','\'(-inf-2.5]\'','\'(8.9-11.2]\'','\'(-inf-2.4]\'',West
'\'(10.6-13]\'','\'(3-5]\'','\'(0.9-inf)\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-2.4]\'','\'(3.8-5.2]\'','\'(5.4-7.1]\'','\'(9-11]\'','\'(3.4-5.8]\'','\'(-inf-2.5]\'','\'(6.6-8.9]\'','\'(-inf-2.4]\'',West
'\'(10.6-13]\'','\'(3-5]\'','\'(0.9-inf)\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-2.4]\'','\'(3.8-5.2]\'','\'(5.4-7.1]\'','\'(11-13]\'','\'(3.4-5.8]\'','\'(-inf-2.5]\'','\'(6.6-8.9]\'','\'(-inf-2.4]\'',West
'\'(8.2-10.6]\'','\'(3-5]\'','\'(0.9-inf)\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-2.4]\'','\'(3.8-5.2]\'','\'(5.4-7.1]\'','\'(11-13]\'','\'(3.4-5.8]\'','\'(-inf-2.5]\'','\'(6.6-8.9]\'','\'(-inf-2.4]\'',West
'\'(8.2-10.6]\'','\'(3-5]\'','\'(0.9-inf)\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-2.4]\'','\'(3.8-5.2]\'','\'(5.4-7.1]\'','\'(11-13]\'','\'(3.4-5.8]\'','\'(-inf-2.5]\'','\'(6.6-8.9]\'','\'(-inf-2.4]\'',West
'\'(5.8-8.2]\'','\'(3-5]\'','\'(0.9-inf)\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-2.4]\'','\'(3.8-5.2]\'','\'(7.1-8.8]\'','\'(11-13]\'','\'(3.4-5.8]\'','\'(-inf-2.5]\'','\'(6.6-8.9]\'','\'(-inf-2.4]\'',West
'\'(5.8-8.2]\'','\'(3-5]\'','\'(0.9-inf)\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-2.4]\'','\'(3.8-5.2]\'','\'(7.1-8.8]\'','\'(11-13]\'','\'(3.4-5.8]\'','\'(-inf-2.5]\'','\'(6.6-8.9]\'','\'(-inf-2.4]\'',West
'\'(5.8-8.2]\'','\'(3-5]\'','\'(0.9-inf)\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-2.4]\'','\'(5.2-6.6]\'','\'(8.8-10.5]\'','\'(11-13]\'','\'(3.4-5.8]\'','\'(-inf-2.5]\'','\'(6.6-8.9]\'','\'(-inf-2.4]\'',West
'\'(3.4-5.8]\'','\'(3-5]\'','\'(0.9-inf)\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-2.4]\'','\'(6.6-8]\'','\'(8.8-10.5]\'','\'(13-15]\'','\'(3.4-5.8]\'','\'(-inf-2.5]\'','\'(6.6-8.9]\'','\'(-inf-2.4]\'',West
'\'(3.4-5.8]\'','\'(3-5]\'','\'(0.9-inf)\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-2.4]\'','\'(6.6-8]\'','\'(8.8-10.5]\'','\'(11-13]\'','\'(3.4-5.8]\'','\'(-inf-2.5]\'','\'(6.6-8.9]\'','\'(-inf-2.4]\'',West
