@relation all-data-pacman-weka.filters.unsupervised.attribute.Remove-R21-23-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-R2-15-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.Remove-R5

@attribute pacmanDirec=West numeric
@attribute pacmanDirec=East numeric
@attribute pacmanDirec=North numeric
@attribute pacmanDirec=South numeric
@attribute ghost1Dist numeric
@attribute ghost2Dist numeric
@attribute ghost3Dist numeric
@attribute ghost4Dist numeric
@attribute action {West,East,North,South,Stop}

@data
0,0,1,0,0,0,0.956522,0.758621,North
0,0,1,0,0,0,0.913043,0.724138,North
0,0,1,0,0,0,0.869565,0.689655,North
0,0,1,0,0,0,0.826087,0.655172,North
0,0,1,0,0,0,0.826087,0.586207,North
0,0,1,0,0,0,0.73913,0.517241,North
0,0,1,0,0,0,0.73913,0.482759,North
0,0,1,0,0,0,0.826087,0.413793,East
0,1,0,0,0,0,0.782609,0.413793,East
0,1,0,0,0,0,0.73913,0.344828,East
0,1,0,0,0,0,0.652174,0.344828,East
0,1,0,0,0,0,0.652174,0.275862,South
0,0,0,1,0,0,0.652174,0.344828,North
0,1,0,0,0,0,0.565217,0.344828,North
0,0,1,0,0,0,0.608696,0.344828,East
0,1,0,0,0,0,0.565217,0.275862,North
0,0,1,0,0,0,0.565217,0.310345,South
0,1,0,0,0,0,0.478261,0.241379,South
0,0,0,1,0,0,0.478261,0.206897,South
0,0,0,1,0,0,0.434783,0.275862,North
0,1,0,0,0,0,0.347826,0.275862,South
0,0,0,1,0,0,0.26087,0.275862,East
0,1,0,0,0,0,0.217391,0.206897,East
0,1,0,0,0,0,0.217391,0.172414,South
0,0,0,1,0,0,0.217391,0.241379,North
0,1,0,0,0,0,0.173913,0.172414,East
0,1,0,0,0,0,0.086957,0.172414,East
0,1,0,0,0,0,0.086957,0.172414,North
0,0,1,0,0,0,0,0.172414,North
0,0,1,0,0,0,0,0.172414,North
0,0,1,0,0,0,0,0.137931,North
0,0,1,0,0,0,0,0.068966,North
0,0,1,0,0,0,0,0.137931,South
1,0,0,0,0,0,0,0.103448,South
0,0,0,1,0,0,0,0.034483,South
0,0,0,1,0,0,0,0.103448,North
1,0,0,0,0,0,0,0.103448,North
0,0,1,0,0,0,0,0.103448,West
1,0,0,0,0,0,0,0.034483,North
0,0,1,0,0.269231,0.173913,0.304348,0.137931,North
0,0,1,0,0.192308,0.173913,0.217391,0.137931,North
0,0,1,0,0.115385,0.130435,0.130435,0.068966,North
0,0,1,0,0.038462,0.130435,0.130435,0,North
0,0,1,0,0,0.130435,0.043478,0,North
0,0,1,0,0,0.217391,0,0,South
0,1,0,0,0,0.217391,0,0,South
0,0,0,1,0,0.217391,0,0,South
0,0,0,1,0,0.130435,0,0,East
0,1,0,0,0,0.043478,0,0,East
0,0,0,1,0.461538,0.478261,0.652174,0.724138,South
0,0,0,1,0.461538,0.391304,0.73913,0.724138,South
0,0,0,1,0.461538,0.304348,0.73913,0.689655,South
