@relation all-data-pacman-weka.filters.unsupervised.attribute.Remove-R20-23-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.Remove-R15-18-weka.filters.unsupervised.attribute.Remove-R3-6-weka.filters.unsupervised.attribute.Remove-R1-2

@attribute ghost1XPos numeric
@attribute ghost1YPos numeric
@attribute ghost2XPos numeric
@attribute ghost2YPos numeric
@attribute ghost3XPos numeric
@attribute ghost3YPos numeric
@attribute ghost4XPos numeric
@attribute ghost4YPos numeric
@attribute action {West,East,North,South,Stop}

@data
9,3,11,7,19,12,22,9,South
9,3,11,7,19,12,22,9,South
9,3,11,7,19,12,22,9,South
9,3,11,7,19,12,22,9,South
9,3,11,7,19,12,22,9,South
10,13,13,13,14,13,17,13,South
4,9,6,11,12,8,7,1,South
3,9,6,11,11,8,7,1,South
3,8,7,11,11,7,7,1,South
3,9,7,10,10,6,7,1,South
6,8,4,9,22,10,25,13,South
11,6,3,1,20,12,21,9,South
10,6,3,1,21,12,21,9,South
10,5,3,1,21,12,21,9,South
11,5,3,1,22,12,21,9,South
1,1,3,1,22,5,23,10,South
1,1,3,1,22,6,22,10,South
1,4,6,10,14,8,7,1,South
1,3,6,9,13,8,7,1,South
1,4,6,9,12,8,7,1,South
1,3,7,9,12,7,7,1,South
2,3,6,10,12,5,7,1,South
3,3,8,8,18,10,25,13,South
3,3,9,7,18,9,24,12,South
2,3,3,1,18,8,24,13,South
1,3,3,1,17,9,24,13,South
1,1,6,6,2,9,7,1,South
11,3,13,6,19,11,22,7,South
10,3,13,5,19,10,22,7,South
10,3,13,5,19,9,22,6,South
11,3,13,6,20,9,21,6,South
12,3,14,6,20,10,21,7,South
12,4,14,5,20,11,22,7,South
1,1,3,1,5,1,22,4,South
1,1,3,1,5,1,21,5,South
1,1,3,1,5,1,22,5,South
