@relation all-data-pacman-weka.filters.unsupervised.attribute.Remove-R20-23-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.Remove-R15-18-weka.filters.unsupervised.attribute.Remove-R3-6

@attribute pacmanXpos numeric
@attribute pacmanYpos numeric
@attribute ghost1XPos numeric
@attribute ghost1YPos numeric
@attribute ghost2XPos numeric
@attribute ghost2YPos numeric
@attribute ghost3XPos numeric
@attribute ghost3YPos numeric
@attribute ghost4XPos numeric
@attribute ghost4YPos numeric
@attribute action {West,East,North,South,Stop}

@data
14,13,2,4,6,11,15,8,13,12,South
7,13,1,1,7,12,5,1,7,1,South
6,6,3,7,2,9,1,6,7,5,South
6,8,1,1,6,6,2,10,7,1,South
9,12,10,3,13,7,19,11,22,7,South
11,5,12,5,13,5,19,10,22,6,South
14,6,15,5,3,1,20,10,22,4,South
17,10,1,1,3,1,17,9,22,3,South
20,8,1,1,3,1,5,1,22,5,South
13,15,13,13,5,1,17,13,16,13,South
14,14,2,1,7,1,17,13,17,13,South
5,10,1,1,4,6,4,9,7,1,South
13,11,5,6,5,12,13,6,7,1,South
13,10,5,6,5,12,13,6,7,1,South
13,9,5,6,5,12,13,6,7,1,South
13,8,5,6,5,12,13,6,7,1,South
13,7,5,6,5,12,13,6,7,1,South
7,10,5,5,3,1,21,9,25,14,South
7,9,5,5,3,1,21,9,25,14,South
7,8,5,5,3,1,21,9,25,14,South
6,6,5,5,3,1,21,9,25,14,South
4,11,9,3,11,7,19,12,22,9,South
4,10,9,3,11,7,19,12,22,9,South
4,9,9,3,11,7,19,12,22,9,South
4,8,9,3,11,7,19,12,22,9,South
4,7,9,3,11,7,19,12,22,9,South
4,6,9,3,11,7,19,12,22,9,South
4,5,9,3,11,7,19,12,22,9,South
13,14,10,13,13,13,14,13,17,13,South
13,11,4,9,6,11,12,8,7,1,South
13,10,3,9,6,11,11,8,7,1,South
13,9,3,8,7,11,11,7,7,1,South
11,7,3,9,7,10,10,6,7,1,South
6,9,6,8,4,9,22,10,25,13,South
10,10,11,6,3,1,20,12,21,9,South
10,9,10,6,3,1,21,12,21,9,South
10,8,10,5,3,1,21,12,21,9,South
10,7,11,5,3,1,22,12,21,9,South
22,8,1,1,3,1,22,5,23,10,South
22,7,1,1,3,1,22,6,22,10,South
14,12,1,4,6,10,14,8,7,1,South
14,11,1,3,6,9,13,8,7,1,South
14,10,1,4,6,9,12,8,7,1,South
14,9,1,3,7,9,12,7,7,1,South
13,7,2,3,6,10,12,5,7,1,South
9,10,3,3,8,8,18,10,25,13,South
9,8,3,3,9,7,18,9,24,12,South
9,7,2,3,3,1,18,8,24,13,South
8,5,1,3,3,1,17,9,24,13,South
6,7,1,1,6,6,2,9,7,1,South
9,11,11,3,13,6,19,11,22,7,South
9,10,10,3,13,5,19,10,22,7,South
9,9,10,3,13,5,19,9,22,6,South
9,8,11,3,13,6,20,9,21,6,South
9,7,12,3,14,6,20,10,21,7,South
9,6,12,4,14,5,20,11,22,7,South
17,9,1,1,3,1,5,1,22,4,South
20,7,1,1,3,1,5,1,21,5,South
20,6,1,1,3,1,5,1,22,5,South
