@relation all-data-pacman-weka.filters.unsupervised.attribute.Remove-R20-23

@attribute pacmanDirec {West,East,North,South,Stop}
@attribute pacmanXpos numeric
@attribute pacmanYpos numeric
@attribute LivingGhost1 {False,True}
@attribute LivingGhost2 {False,True}
@attribute LivingGhost3 {False,True}
@attribute LivingGhost4 {False,True}
@attribute ghost1XPos numeric
@attribute ghost1YPos numeric
@attribute ghost2XPos numeric
@attribute ghost2YPos numeric
@attribute ghost3XPos numeric
@attribute ghost3YPos numeric
@attribute ghost4XPos numeric
@attribute ghost4YPos numeric
@attribute ghost1Dist numeric
@attribute ghost2Dist numeric
@attribute ghost3Dist numeric
@attribute ghost4Dist numeric
@attribute action {West,East,North,South,Stop}

@data
South,3,4,False,False,False,True,1,1,3,1,5,1,2,5,0,0,0,3,North
West,2,4,False,False,False,True,1,1,3,1,5,1,2,6,0,0,0,1,North
South,4,11,True,True,True,True,8,3,10,7,19,12,22,9,12,10,16,19,South
South,4,10,True,True,True,True,9,3,10,7,19,11,21,9,12,9,16,18,South
South,4,9,True,True,True,True,9,4,11,7,19,12,21,9,10,9,18,18,South
South,4,8,True,True,True,True,8,4,11,8,19,11,21,10,8,7,18,20,East
East,5,8,True,True,True,True,8,3,11,9,18,11,22,10,8,7,16,18,North
North,5,9,True,True,True,True,9,3,11,8,18,10,22,9,10,7,14,18,South
East,6,9,True,True,True,True,9,3,12,8,18,11,22,8,9,7,14,16,South
South,6,8,True,True,True,True,9,4,13,8,18,11,21,8,7,7,15,15,South
South,6,7,True,True,True,True,8,4,12,8,18,12,21,8,5,7,17,16,South
South,6,6,True,True,True,True,8,3,11,8,18,12,21,8,5,7,18,17,South
South,6,5,True,True,True,True,9,3,10,8,19,12,21,8,5,7,20,19,South
South,6,4,True,True,True,True,8,3,10,9,19,11,22,8,3,9,20,19,South
South,6,3,True,True,True,True,8,3,10,8,19,10,22,7,2,9,20,21,East
East,7,3,True,True,True,True,8,3,10,9,19,9,22,8,1,9,18,19,East
East,8,3,False,True,True,True,1,1,9,9,19,8,22,7,0,7,16,19,North
North,8,4,False,True,True,True,1,1,10,9,20,8,23,7,0,7,16,18,North
North,8,5,False,True,True,True,1,1,10,9,19,8,23,7,0,6,14,16,North
North,8,6,False,True,True,True,1,1,10,8,19,8,22,7,0,4,13,14,North
